Frame DE_Pauli DE_Elstat DE_Orb	DE_Disp	DE_int
163	100.04	-83.70	-46.77	-59.35	-89.78
164	84.10	-73.29	-42.68	-58.87	-90.74
165	151.41	-114.74	-60.98	-67.50	-91.81
166	184.76	-134.38	-70.60	-72.35	-92.57
167	134.63	-107.75	-56.14	-68.83	-98.09
168	94.37	-81.76	-45.20	-59.60	-92.19
169	78.66	-69.22	-41.22	-56.84	-88.62
170	148.80	-109.95	-58.04	-64.91	-84.10
171	177.29	-131.30	-65.64	-70.43	-90.08
172	158.64	-123.45	-61.19	-71.91	-97.91
173	152.00	-116.17	-60.12	-67.85	-92.14
174	113.12	-88.80	-50.59	-59.98	-86.25
175	107.45	-87.19	-48.62	-59.75	-88.11
176	162.17	-125.42	-64.59	-70.37	-98.21
177	178.87	-139.25	-67.97	-75.44	-103.79
178	154.48	-119.08	-64.39	-71.76	-100.75
179	157.04	-117.41	-63.17	-67.27	-90.81
180	105.63	-84.52	-49.01	-59.44	-87.34
181	103.01	-82.90	-48.08	-58.58	-86.55
182	171.75	-131.27	-65.14	-70.54	-95.20
183	207.76	-150.35	-74.53	-74.71	-91.83
184	125.85	-101.09	-54.78	-67.29	-97.31
185	98.24	-85.60	-44.86	-59.34	-91.56
186	101.68	-86.62	-45.29	-60.10	-90.33
187	124.18	-100.23	-51.35	-63.22	-90.62
188	183.61	-136.35	-68.29	-73.23	-94.26
189	187.70	-133.59	-71.82	-73.46	-91.17
190	152.80	-117.31	-61.64	-66.58	-92.73
191	96.48	-81.84	-46.89	-59.32	-91.57
192	81.01	-71.73	-41.72	-56.59	-89.03
193	141.96	-107.27	-57.98	-67.38	-90.67
194	203.39	-147.06	-71.79	-76.13	-91.59
195	136.82	-104.75	-58.62	-68.65	-95.20
196	79.87	-75.09	-41.27	-56.28	-92.77
197	70.89	-63.52	-38.38	-53.63	-84.64
198	72.46	-64.89	-40.26	-56.27	-88.96
199	205.25	-142.53	-73.52	-73.34	-84.14
200	210.24	-147.45	-75.56	-76.12	-88.89
